,name,label,timezone,id,lat,lon,insee,region,label_region,id_region,zip_code
0,Longueville-sur-Scie,Longueville-sur-Scie (Longueville-sur-Scie),Europe/Paris,stop_area:OCE:SA:87415141,49.791596,1.110547,76397,Longueville-sur-Scie,Longueville-sur-Scie (76590),admin:fr:76397,76590
1,Longuyon,Longuyon (Longuyon),Europe/Paris,stop_area:OCE:SA:87194274,49.444275,5.604598,54322,Longuyon,Longuyon (54260),admin:fr:54322,54260
2,Longuyon (Collège),Longuyon (Collège) (Longuyon),Europe/Paris,stop_area:OCE:SA:87406603,49.434433,5.614433,54322,Longuyon,Longuyon (54260),admin:fr:54322,54260
3,Longuyon (La Machine),Longuyon (La Machine) (Longuyon),Europe/Paris,stop_area:OCE:SA:87406702,49.453927,5.600428,54322,Longuyon,Longuyon (54260),admin:fr:54322,54260
4,Longuyon (Pont-2-Eaux),Longuyon (Pont-2-Eaux) (Longuyon),Europe/Paris,stop_area:OCE:SA:87406611,49.448647,5.599512,54322,Longuyon,Longuyon (54260),admin:fr:54322,54260
5,Longwy,Longwy (Longwy),Europe/Paris,stop_area:OCE:SA:87194001,49.513026,5.769596,54323,Longwy,Longwy (54400),admin:fr:54323,54400
6,Longwy-Espace-Bus,Longwy-Espace-Bus (Longwy),Europe/Paris,stop_area:OCE:SA:87406710,49.513643,5.768754,54323,Longwy,Longwy (54400),admin:fr:54323,54400
7,Longwy-Route-de-Metz,Longwy-Route-de-Metz (Longwy),Europe/Paris,stop_area:OCE:SA:87477588,49.511939,5.762605,54323,Longwy,Longwy (54400),admin:fr:54323,54400
8,Lonlay-le-Tesson,Lonlay-le-Tesson (Lonlay-le-Tesson),Europe/Paris,stop_area:OCE:SA:87449868,48.643329,-0.353063,61233,Lonlay-le-Tesson,Lonlay-le-Tesson (61600),admin:fr:61233,61600
9,Lons-le-Saunier,Lons-le-Saunier (Lons-le-Saunier),Europe/Paris,stop_area:OCE:SA:87718239,46.668398,5.550877,39300,Lons-le-Saunier,Lons-le-Saunier (39000),admin:fr:39300,39000
10,Loos en Gohelle,Loos en Gohelle (Lens),Europe/Paris,stop_area:OCE:SA:87345033,50.437811,2.793251,62498,Lens,Lens (62300),admin:fr:62498,62300
11,Loos lès Lille,Loos lès Lille (Loos),Europe/Paris,stop_area:OCE:SA:87286112,50.612874,3.016923,59360,Loos,Loos (59120),admin:fr:59360,59120
12,Lorentzen R. principale,Lorentzen R. principale (Lorentzen),Europe/Paris,stop_area:OCE:SA:87726091,48.952544,7.175662,67274,Lorentzen,Lorentzen (67430),admin:fr:67274,67430
